 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"316870 TIMOTEO";2095
"316890 TIROS";100
"316920 TOMBOS";165
"316930 TRES CORACOES";3156
"316935 TRES MARIAS";996
"316940 TRES PONTAS";2863
"316960 TUPACIGUARA";786
"316970 TURMALINA";2197
"316990 UBA";6680
"317010 UBERABA";17986
"317020 UBERLANDIA";38433
"317040 UNAI";3535
"317043 UNIAO DE MINAS";78
"317052 URUCUIA";440
"317070 VARGINHA";9052
"317080 VARZEA DA PALMA";864
"317090 VARZELANDIA";297
"317100 VAZANTE";609
"317120 VESPASIANO";1309
"317130 VICOSA";4281
"317160 VIRGEM DA LAPA";192
"317170 VIRGINIA";220
"317180 VIRGINOPOLIS";658
"317200 VISCONDE DO RIO BRANCO";2668
"320010 AFONSO CLAUDIO";912
"320020 ALEGRE";594
"320040 ANCHIETA";460
"320050 APIACA";33
"320060 ARACRUZ";4078
"320070 ATILIO VIVACQUA";40
"320080 BAIXO GUANDU";1171
"320090 BARRA DE SAO FRANCISCO";1549
"320100 BOA ESPERANCA";293
"320120 CACHOEIRO DE ITAPEMIRIM";20148
"320130 CARIACICA";4225
"320140 CASTELO";711
"320150 COLATINA";16166
"320170 CONCEICAO DO CASTELO";67
"320190 DOMINGOS MARTINS";1214
"320210 ECOPORANGA";274
"320230 GUACUI";2362
"320240 GUARAPARI";2355
"320245 IBATIBA";198
"320280 ITAPEMIRIM";2718
"320290 ITARANA";138
"320300 IUNA";821
"320305 JAGUARE";362
"320310 JERONIMO MONTEIRO";1432
"320313 JOAO NEIVA";388
"320316 LARANJA DA TERRA";148
"320320 LINHARES";8939
"320340 MIMOSO DO SUL";581
"320350 MONTANHA";500
"320360 MUCURICI";148
"320370 MUNIZ FREIRE";199
"320380 MUQUI";58
"320390 NOVA VENECIA";1568
"320400 PANCAS";49
"320405 PEDRO CANARIO";868
"320410 PINHEIROS";315
"320435 RIO BANANAL";66
"320450 SANTA LEOPOLDINA";1128
"320455 SANTA MARIA DE JETIBA";1454
"320460 SANTA TERESA";2704
"320470 SAO GABRIEL DA PALHA";262
"320480 SAO JOSE DO CALCADO";2117
"320490 SAO MATEUS";10615
"320500 SERRA";19656
"320503 VARGEM ALTA";318
"320506 VENDA NOVA DO IMIGRANTE";2502
"320520 VILA VELHA";23594
"320530 VITORIA";39828
"330010 ANGRA DOS REIS";6408
"330015 APERIBE";702
"330020 ARARUAMA";3341
"330022 AREAL";190
"330023 ARMACAO DOS BUZIOS";2215
"330025 ARRAIAL DO CABO";1589
"330030 BARRA DO PIRAI";2808
"330040 BARRA MANSA";9834
"330045 BELFORD ROXO";6797
"330050 BOM JARDIM";979
"330060 BOM JESUS DO ITABAPOANA";3751
"330070 CABO FRIO";7020
"330080 CACHOEIRAS DE MACACU";2032
"330090 CAMBUCI";980
"330100 CAMPOS DOS GOYTACAZES";24939
"330110 CANTAGALO";1175
"330120 CARMO";643
"330130 CASIMIRO DE ABREU";1794
"330140 CONCEICAO DE MACABU";186
"330150 CORDEIRO";500
"330160 DUAS BARRAS";175
"330170 DUQUE DE CAXIAS";31132
"330180 ENGENHEIRO PAULO DE FRONTIN";324
"330185 GUAPIMIRIM";1707
"330190 ITABORAI";5754
"330200 ITAGUAI";3100
"330210 ITAOCARA";654
"330220 ITAPERUNA";6913
"330225 ITATIAIA";939
"330227 JAPERI";640
"330230 LAJE DO MURIAE";171
"330240 MACAE";9774
"330250 MAGE";3641
"330260 MANGARATIBA";1350
"330270 MARICA";8040
"330280 MENDES";319
"330285 MESQUITA";5112
"330290 MIGUEL PEREIRA";1882
"330300 MIRACEMA";891
"330310 NATIVIDADE";525
"330320 NILOPOLIS";3393
"330330 NITEROI";18482
"330340 NOVA FRIBURGO";6084
"330350 NOVA IGUACU";19950
"330360 PARACAMBI";914
"330370 PARAIBA DO SUL";2925
"330380 PARATY";1658
"330390 PETROPOLIS";12117
"330395 PINHEIRAL";525
"330400 PIRAI";1113
"330411 PORTO REAL";481
"330412 QUATIS";206
"330414 QUEIMADOS";3313
"330415 QUISSAMA";1182
"330420 RESENDE";6190
"330430 RIO BONITO";2526
"330440 RIO CLARO";377
"330450 RIO DAS FLORES";261
"330452 RIO DAS OSTRAS";4068
"330455 RIO DE JANEIRO";195299
"330460 SANTA MARIA MADALENA";421
"330470 SANTO ANTONIO DE PADUA";2676
"330475 SAO FRANCISCO DE ITABAPOANA";583
"330480 SAO FIDELIS";1549
"330490 SAO GONCALO";21601
"330500 SAO JOAO DA BARRA";1605
"330510 SAO JOAO DE MERITI";4827
"330515 SAO JOSE DO VALE DO RIO PRETO";422
"330520 SAO PEDRO DA ALDEIA";1527
"330530 SAO SEBASTIAO DO ALTO";448
"330540 SAPUCAIA";165
"330550 SAQUAREMA";4906
"330555 SEROPEDICA";624
"330560 SILVA JARDIM";54
"330570 SUMIDOURO";199
"330575 TANGUA";331
"330580 TERESOPOLIS";6602
"330590 TRAJANO DE MORAES";350
"330600 TRES RIOS";3253
"330610 VALENCA";5647
"330615 VARRE-SAI";133
"330620 VASSOURAS";3908
"330630 VOLTA REDONDA";16772
"350010 ADAMANTINA";3103
"350030 AGUAI";298
"350050 AGUAS DE LINDOIA";844
"350070 AGUDOS";694
"350100 ALTINOPOLIS";1185
"350130 ALVARES MACHADO";463
"350160 AMERICANA";5104
"350170 AMERICO BRASILIENSE";3932
"350190 AMPARO";2989
"350210 ANDRADINA";2091
"350220 ANGATUBA";870
"350250 APARECIDA";2799
"350260 APARECIDA D'OESTE";60
"350270 APIAI";1804
"350280 ARACATUBA";6756
"350310 ARANDU";53
"350320 ARARAQUARA";12470
"350330 ARARAS";3520
"350340 AREALVA";94
"350390 ARUJA";1095
"350400 ASSIS";5870
"350410 ATIBAIA";2735
"350420 AURIFLAMA";1437
"350450 AVARE";4234
"350520 BARIRI";1088
"350530 BARRA BONITA";1188
"350550 BARRETOS";18453
"350570 BARUERI";22822
"350580 BASTOS";807
"350590 BATATAIS";2631
"350600 BAURU";23966
"350610 BEBEDOURO";4685
"350630 BERNARDINO DE CAMPOS";393
"350635 BERTIOGA";1816
"350640 BILAC";119
"350650 BIRIGUI";2718
"350670 BOA ESPERANCA DO SUL";24
"350680 BOCAINA";93
"350700 BOITUVA";1429
"350710 BOM JESUS DOS PERDOES";139
"350740 BORBOREMA";444
"350750 BOTUCATU";15942
"350760 BRAGANCA PAULISTA";10957
"350790 BROTAS";485
"350810 BURITAMA";443
"350840 CABREUVA";431
"350850 CACAPAVA";2131
"350870 CACONDE";724
"350880 CAFELANDIA";511
"350900 CAIEIRAS";2505
"350920 CAJAMAR";1966
"350930 CAJOBI";281
"350940 CAJURU";1903
"350950 CAMPINAS";50683
"350960 CAMPO LIMPO PAULISTA";2347
"350970 CAMPOS DO JORDAO";1557
"351000 CANDIDO MOTA";1409
"351020 CAPAO BONITO";1729
"351040 CAPIVARI";1727
"351050 CARAGUATATUBA";12677
"351060 CARAPICUIBA";11656
"351070 CARDOSO";243
"351080 CASA BRANCA";1283
"351100 CASTILHO";249
"351110 CATANDUVA";10673
"351140 CERQUEIRA CESAR";1096
"351150 CERQUILHO";319
"351160 CESARIO LANGE";320
"351170 CHARQUEADA";185
"351190 CLEMENTINA";155
"351200 COLINA";686
"351210 COLOMBIA";7
"351220 CONCHAL";1345
"351230 CONCHAS";245
"351280 COSMOPOLIS";1023
"351300 COTIA";8451
"351340 CRUZEIRO";3473
"351350 CUBATAO";3764
"351360 CUNHA";760
"351370 DESCALVADO";1141
"351380 DIADEMA";13190
"351390 DIVINOLANDIA";2826
"351410 DOIS CORREGOS";794
"351440 DRACENA";2081
"351450 DUARTINA";778
"351500 EMBU DAS ARTES";2378
"351510 EMBU-GUACU";755
"351518 ESPIRITO SANTO DO PINHAL";2323
"351520 ESTRELA D'OESTE";473
"351540 FARTURA";514
"351550 FERNANDOPOLIS";3525
"351570 FERRAZ DE VASCONCELOS";4070
"351600 FLORIDA PAULISTA";465
"351620 FRANCA";13911
"351630 FRANCISCO MORATO";7066
"351640 FRANCO DA ROCHA";5153
"351660 GALIA";60
"351670 GARCA";1905
"351690 GENERAL SALGADO";263
"351700 GETULINA";178
"351740 GUAIRA";1886
"351760 GUAPIARA";91
"351770 GUARA";550
"351780 GUARACAI";349
"351820 GUARARAPES";1024
"351830 GUARAREMA";662
"351840 GUARATINGUETA";3891
"351860 GUARIBA";962
"351870 GUARUJA";8753
"351880 GUARULHOS";31998
"351900 HERCULANDIA";511
"351907 HORTOLANDIA";3031
"351910 IACANGA";317
"351930 IBATE";497
"351940 IBIRA";192
"351960 IBITINGA";2642
"351970 IBIUNA";2143
"351990 IEPE";331
"352010 IGARAPAVA";746
"352040 ILHABELA";2123
"352044 ILHA SOLTEIRA";1456
"352050 INDAIATUBA";12696
"352070 INDIAPORA";251
"352090 IPAUSSU";283
"352130 IPUA";499
"352170 ITABERA";859
"352180 ITAI";316
"352190 ITAJOBI";431
"352210 ITANHAEM";7153
"352220 ITAPECERICA DA SERRA";9820
"352230 ITAPETININGA";5912
"352240 ITAPEVA";5671
"352250 ITAPEVI";9190
"352260 ITAPIRA";3710
"352270 ITAPOLIS";1646
"352280 ITAPORANGA";715
"352290 ITAPUI";127
"352310 ITAQUAQUECETUBA";8661
"352320 ITARARE";2479
"352340 ITATIBA";3451
"352350 ITATINGA";175
"352360 ITIRAPINA";70
"352390 ITU";5124
"352400 ITUPEVA";1294
"352410 ITUVERAVA";2075
"352420 JABORANDI";33
"352430 JABOTICABAL";1265
"352440 JACAREI";7486
"352450 JACI";499
"352470 JAGUARIUNA";2152
"352480 JALES";4859
"352520 JARINU";378
"352530 JAU";15895
"352550 JOANOPOLIS";138
"352570 JOSE BONIFACIO";974
"352590 JUNDIAI";27024
"352600 JUNQUEIROPOLIS";753
"352640 LARANJAL PAULISTA";873
"352670 LEME";3190
"352680 LENCOIS PAULISTA";1475
"352690 LIMEIRA";9507
"352710 LINS";3538
"352720 LORENA";3000
"352730 LOUVEIRA";1592
"352740 LUCELIA";312
"352800 MACATUBA";415
"352810 MACAUBAL";41
"352850 MAIRIPORA";2010
"352880 MARACAI";546
"352900 MARILIA";16679
"352920 MARTINOPOLIS";1401
"352930 MATAO";3284
"352940 MAUA";9032
"352970 MIGUELOPOLIS";648
"353010 MIRANDOPOLIS";2060
"353030 MIRASSOL";1236
"353050 MOCOCA";2966
"353060 MOGI DAS CRUZES";19298
"353070 MOGI GUACU";5936
"353080 MOGI MIRIM";2702
"353110 MONGAGUA";406
"353130 MONTE ALTO";1495
"353140 MONTE APRAZIVEL";1412
"353150 MONTE AZUL PAULISTA";866
"353180 MONTE MOR";637
"353190 MORRO AGUDO";978
"353200 MORUNGABA";98
"353240 NAZARE PAULISTA";324
"353250 NEVES PAULISTA";27
"353260 NHANDEARA";1153
"353290 NOVA EUROPA";167
"353300 NOVA GRANADA";965
"353340 NOVA ODESSA";852
"353350 NOVO HORIZONTE";1431
"353390 OLIMPIA";2161
"353430 ORLANDIA";1385
"353440 OSASCO";16069
"353460 OSVALDO CRUZ";1516
"353470 OURINHOS";6683
"353475 OUROESTE";319
"353520 PALMEIRA D'OESTE";508
"353530 PALMITAL";1127
"353550 PARAGUACU PAULISTA";2646
"353580 PARANAPANEMA";472
"353620 PARIQUERA-ACU";5391
"353630 PATROCINIO PAULISTA";405
"353650 PAULINIA";2778
"353660 PAULO DE FARIA";43
"353670 PEDERNEIRAS";1186
"353700 PEDREGULHO";571
"353710 PEDREIRA";585
"353730 PENAPOLIS";3394
"353740 PEREIRA BARRETO";504
"353780 PIEDADE";1644
"353790 PILAR DO SUL";653
"353800 PINDAMONHANGABA";4225
"353860 PIRACAIA";429
"353870 PIRACICABA";23379
"353880 PIRAJU";1239
"353890 PIRAJUI";859
"353900 PIRANGI";627
"353930 PIRASSUNUNGA";1485
"353940 PIRATININGA";126
"353950 PITANGUEIRAS";1050
"354000 POMPEIA";507
"354020 PONTAL";1027
"354040 POPULINA";120
"354060 PORTO FELIZ";2719
"354070 PORTO FERREIRA";1144
"354080 POTIRENDABA";664
"354100 PRAIA GRANDE";5344
"354120 PRESIDENTE BERNARDES";815
"354130 PRESIDENTE EPITACIO";1795
"354140 PRESIDENTE PRUDENTE";23368
"354150 PRESIDENTE VENCESLAU";1570
"354160 PROMISSAO";2070
"354190 QUELUZ";110
"354220 RANCHARIA";2258
"354240 REGENTE FEIJO";566
"354260 REGISTRO";6582
"354290 RIBEIRAO BONITO";164
"354300 RIBEIRAO BRANCO";218
"354330 RIBEIRAO PIRES";1104
"354340 RIBEIRAO PRETO";50865
"354380 RINOPOLIS";149
"354390 RIO CLARO";5946
"354400 RIO DAS PEDRAS";501
"354420 RIOLANDIA";95
"354425 ROSANA";1976
"354490 SALES OLIVEIRA";198
"354500 SALESOPOLIS";308
"354520 SALTO";2919
"354530 SALTO DE PIRAPORA";1462
"354540 SALTO GRANDE";249
"354560 SANTA ADELIA";411
"354580 SANTA BARBARA D'OESTE";5238
"354630 SANTA CRUZ DAS PALMEIRAS";769
"354640 SANTA CRUZ DO RIO PARDO";2509
"354660 SANTA FE DO SUL";1918
"354680 SANTA ISABEL";1245
"354730 SANTANA DE PARNAIBA";2526
"354750 SANTA RITA DO PASSA QUATRO";928
"354760 SANTA ROSA DE VITERBO";781
"354770 SANTO ANASTACIO";1066
"354780 SANTO ANDRE";30517
"354790 SANTO ANTONIO DA ALEGRIA";65
"354850 SANTOS";19603
"354860 SAO BENTO DO SAPUCAI";342
"354870 SAO BERNARDO DO CAMPO";20996
"354880 SAO CAETANO DO SUL";7133
"354890 SAO CARLOS";11006
"354910 SAO JOAO DA BOA VISTA";3287
"354940 SAO JOAQUIM DA BARRA";1851
"354970 SAO JOSE DO RIO PARDO";2671
"354980 SAO JOSE DO RIO PRETO";49050
"354990 SAO JOSE DOS CAMPOS";31967
"355000 SAO LUIS DO PARAITINGA";109
"355010 SAO MANUEL";862
"355020 SAO MIGUEL ARCANJO";835
"355030 SAO PAULO";431322
"355040 SAO PEDRO";2041
"355060 SAO ROQUE";2717
"355070 SAO SEBASTIAO";2932
"355080 SAO SEBASTIAO DA GRAMA";346
"355090 SAO SIMAO";200
"355100 SAO VICENTE";6456
"355150 SERRANA";2503
"355160 SERRA NEGRA";791
"355170 SERTAOZINHO";3551
"355200 SILVEIRAS";19
"355210 SOCORRO";1798
"355220 SOROCABA";34546
"355230 SUD MENNUCCI";185
"355240 SUMARE";7542
"355250 SUZANO";5265
"355260 TABAPUA";459
"355270 TABATINGA";503
"355280 TABOAO DA SERRA";13123
"355300 TAGUAI";359
"355330 TAMBAU";861
"355340 TANABI";764
"355360 TAPIRATIBA";208
"355370 TAQUARITINGA";2712
"355380 TAQUARITUBA";1228
"355400 TATUI";3133
"355410 TAUBATE";14322
"355430 TEODORO SAMPAIO";491
"355440 TERRA ROXA";36
"355450 TIETE";1568
"355470 TORRINHA";45
"355500 TUPA";4837
"355510 TUPI PAULISTA";628
"355540 UBATUBA";2753
"355580 URANIA";157
"355600 URUPES";284
"355620 VALINHOS";2447
"355630 VALPARAISO";458
"355640 VARGEM GRANDE DO SUL";1339
"355650 VARZEA PAULISTA";562
"355670 VINHEDO";3449
"355680 VIRADOURO";245
"355700 VOTORANTIM";2517
"355710 VOTUPORANGA";6199
"355720 CHAVANTES";643
"410050 ALTONIA";353
"410060 ALTO PARANA";427
"410080 ALVORADA DO SUL";52
"410090 AMAPORA";91
"410100 AMPERE";907
"410110 ANDIRA";552
"410120 ANTONINA";183
"410140 APUCARANA";9222
"410150 ARAPONGAS";12647
"410160 ARAPOTI";2078
"410170 ARARUNA";283
"410180 ARAUCARIA";4529
"410190 ASSAI";234
"410200 ASSIS CHATEAUBRIAND";2666
"410210 ASTORGA";2032
"410240 BANDEIRANTES";1955
"410280 BELA VISTA DO PARAISO";107
"410290 BITURUNA";406
"410305 BOA VISTA DA APARECIDA";327
"410310 BOCAIUVA DO SUL";44
"410345 CAFELANDIA";315
"410360 CAMBARA";288
"410370 CAMBE";3377
"410390 CAMPINA DA LAGOA";841
"410400 CAMPINA GRANDE DO SUL";20845
"410420 CAMPO LARGO";43326
"410430 CAMPO MOURAO";9642
"410440 CANDIDO DE ABREU";214
"410442 CANDOI";775
"410450 CAPANEMA";593
"410460 CAPITAO LEONIDAS MARQUES";799
"410470 CARLOPOLIS";3812
"410480 CASCAVEL";34313
"410490 CASTRO";2962
"410510 CENTENARIO DO SUL";152
"410520 CERRO AZUL";342
"410530 CEU AZUL";1316
"410540 CHOPINZINHO";1784
"410550 CIANORTE";5252
"410560 CIDADE GAUCHA";260
"410570 CLEVELANDIA";534
"410580 COLOMBO";2175
"410590 COLORADO";3413
"410620 CONTENDA";79
"410630 CORBELIA";1883
"410640 CORNELIO PROCOPIO";6355
"410650 CORONEL VIVIDA";961
"410660 CRUZEIRO DO OESTE";423
"410670 CRUZEIRO DO SUL";67
"410680 CRUZ MACHADO";367
"410690 CURITIBA";111020
"410710 DIAMANTE DO NORTE";62
"410720 DOIS VIZINHOS";2093
"410750 ENGENHEIRO BELTRAO";853
"410753 ENTRE RIOS DO OESTE";148
"410760 FAXINAL";1701
"410765 FAZENDA RIO GRANDE";5064
"410775 FIGUEIRA";101
"410790 FLORESTA";156
"410800 FLORESTOPOLIS";67
"410820 FORMOSA DO OESTE";437
"410830 FOZ DO IGUACU";15010
"410840 FRANCISCO BELTRAO";14010
"410860 GOIOERE";2002
"410880 GUAIRA";1035
"410890 GUAIRACA";49
"410930 GUARANIACU";1284
"410940 GUARAPUAVA";16157
"410960 GUARATUBA";512
"410970 IBAITI";224
"410975 IBEMA";224
"410980 IBIPORA";3224
"411030 INAJA";28
"411040 INDIANOPOLIS";288
"411060 IPORA";377
"411070 IRATI";3107
"411100 ITAMBARACA";149
"411125 ITAPERUCU";677
"411130 ITAUNA DO SUL";74
"411140 IVAI";180
"411150 IVAIPORA";6029
"411170 JABOTI";71
"411180 JACAREZINHO";3220
"411190 JAGUAPITA";181
"411200 JAGUARIAIVA";1084
"411210 JANDAIA DO SUL";1838
"411240 JAPURA";337
"411250 JARDIM ALEGRE";508
"411275 JESUITAS";359
"411280 JOAQUIM TAVORA";212
"411300 JUSSARA";138
"411310 KALORE";133
"411320 LAPA";2081
"411330 LARANJEIRAS DO SUL";3426
"411345 LINDOESTE";308
"411350 LOANDA";3732
"411370 LONDRINA";42146
"411375 LUNARDELLI";220
"411380 LUPIONOPOLIS";51
"411390 MALLET";292
"411420 MANDAGUARI";1053
"411430 MANDIRITUBA";270
"411440 MANGUEIRINHA";535
"411450 MANOEL RIBAS";216
"411460 MARECHAL CANDIDO RONDON";641
"411500 MARILENA";191
"411520 MARINGA";28475
"411560 MATELANDIA";1189
"411570 MATINHOS";116
"411580 MEDIANEIRA";2215
"411600 MIRASELVA";20
"411605 MISSAL";1350
"411620 MORRETES";200
"411670 NOVA AURORA";2493
"411680 NOVA CANTU";71
"411690 NOVA ESPERANCA";358
"411695 NOVA ESPERANCA DO SUDOESTE";68
"411700 NOVA FATIMA";115
"411710 NOVA LONDRINA";238
"411722 NOVA SANTA ROSA";120
"411727 NOVA TEBAS";251
"411750 PAICANDU";458
"411760 PALMAS";1690
"411770 PALMEIRA";576
"411790 PALOTINA";2048
"411820 PARANAGUA";5130
"411840 PARANAVAI";7118
"411845 PATO BRAGADO";365
"411850 PATO BRANCO";9930
"411890 PEROLA";82
"411910 PIEN";601
"411915 PINHAIS";2472
"411940 PIRAI DO SUL";136
"411950 PIRAQUARA";1433
"411960 PITANGA";3182
"411970 PLANALTINA DO PARANA";67
"411980 PLANALTO";541
"411990 PONTA GROSSA";21604
"412000 PORECATU";77
"412020 PORTO RICO";21
"412033 PRADO FERREIRA";26
"412035 PRANCHITA";385
"412050 PRIMEIRO DE MAIO";34
"412060 PRUDENTOPOLIS";2949
"412090 QUEDAS DO IGUACU";866
"412100 QUERENCIA DO NORTE";199
"412120 QUITANDINHA";342
"412150 REBOUCAS";487
"412180 RIBEIRAO CLARO";483
"412190 RIBEIRAO DO PINHAL";867
"412200 RIO AZUL";542
"412220 RIO BRANCO DO SUL";721
"412230 RIO NEGRO";504
"412240 ROLANDIA";4534
"412250 RONCADOR";604
"412260 RONDON";708
"412290 SALTO DO ITARARE";45
"412350 SANTA HELENA";1065
"412370 SANTA ISABEL DO IVAI";3
"412380 SANTA IZABEL DO OESTE";450
"412390 SANTA MARIANA";2029
"412400 SANTANA DO ITARARE";89
"412410 SANTO ANTONIO DA PLATINA";4279
"412420 SANTO ANTONIO DO CAIUA";54
"412440 SANTO ANTONIO DO SUDOESTE";615
"412460 SAO CARLOS DO IVAI";111
"412490 SAO JOAO DO CAIUA";54
"412500 SAO JOAO DO IVAI";212
"412510 SAO JOAO DO TRIUNFO";111
"412535 SAO JORGE DO PATROCINIO";229
"412540 SAO JOSE DA BOA VISTA";150
"412545 SAO JOSE DAS PALMEIRAS";154
"412550 SAO JOSE DOS PINHAIS";7757
"412560 SAO MATEUS DO SUL";1409
"412570 SAO MIGUEL DO IGUACU";684
"412580 SAO PEDRO DO IVAI";192
"412620 SAPOPEMA";28
"412625 SARANDI";2327
"412640 SERTANEJA";12
"412650 SERTANOPOLIS";152
"412660 SIQUEIRA CAMPOS";364
"412667 TAMARANA";48
"412670 TAMBOARA";130
"412700 TEIXEIRA SOARES";64
"412710 TELEMACO BORBA";3010
"412720 TERRA BOA";1146
"412730 TERRA RICA";369
"412750 TIBAGI";334
"412760 TIJUCAS DO SUL";182
"412770 TOLEDO";8837
"412780 TOMAZINA";326
"412785 TRES BARRAS DO PARANA";414
"412796 TURVO";607
"412800 UBIRATA";1487
"412810 UMUARAMA";15504
"412820 UNIAO DA VITORIA";4898
"412840 URAI";354
"412850 WENCESLAU BRAZ";304
"412855 VERA CRUZ DO OESTE";309
"412860 VERE";249
"420010 ABELARDO LUZ";1044
"420020 AGROLANDIA";265
"420040 AGUA DOCE";62
"420070 ALFREDO WAGNER";36
"420090 ANGELINA";276
"420100 ANITA GARIBALDI";792
"420110 ANITAPOLIS";286
"420127 ARABUTA";408
"420140 ARARANGUA";5259
"420150 ARMAZEM";1695
"420160 ARROIO TRINTA";387
"420200 BALNEARIO CAMBORIU";5715
"420230 BIGUACU";2232
"420240 BLUMENAU";20956
"420260 BOM RETIRO";828
"420280 BRACO DO NORTE";2971
"420290 BRUSQUE";15460
"420300 CACADOR";3872
"420310 CAIBI";124
"420320 CAMBORIU";938
"420330 CAMPO ALEGRE";386
"420340 CAMPO BELO DO SUL";707
"420350 CAMPO ERE";540
"420360 CAMPOS NOVOS";3058
"420380 CANOINHAS";2095
"420390 CAPINZAL";1283
"420410 CAXAMBU DO SUL";195
"420420 CHAPECO";15832
"420430 CONCORDIA";3986
"420440 CORONEL FREITAS";587
"420455 CORREIA PINTO";249
"420460 CRICIUMA";10904
"420470 CUNHA PORA";684
"420480 CURITIBANOS";3708
"420490 DESCANSO";547
"420500 DIONISIO CERQUEIRA";979
"420530 FAXINAL DOS GUEDES";1024
"420540 FLORIANOPOLIS";37014
"420550 FRAIBURGO";1732
"420590 GASPAR";1827
"420640 GUARACIABA";618
"420650 GUARAMIRIM";1901
"420660 GUARUJA DO SUL";209
"420690 IBIRAMA";2121
"420700 ICARA";3026
"420720 IMARUI";499
"420730 IMBITUBA";1924
"420750 INDAIAL";1801
"420760 IPIRA";169
"420765 IPORA DO OESTE";675
"420770 IPUMIRIM";159
"420790 IRINEOPOLIS";152
"420800 ITA";474
"420810 ITAIOPOLIS";166
"420820 ITAJAI";17684
"420830 ITAPEMA";1540
"420840 ITAPIRANGA";855
"420850 ITUPORANGA";1973
"420870 JACINTO MACHADO";431
"420880 JAGUARUNA";807
"420890 JARAGUA DO SUL";13216
"420900 JOACABA";8772
"420910 JOINVILLE";37416
"420930 LAGES";12785
"420940 LAGUNA";1075
"420960 LAURO MULLER";243
"420970 LEBON REGIS";37
"420985 LINDOIA DO SUL";546
"421000 LUIZ ALVES";425
"421003 LUZERNA";398
"421010 MAFRA";7028
"421030 MAJOR VIEIRA";988
"421050 MARAVILHA";2157
"421060 MASSARANDUBA";286
"421080 MELEIRO";845
"421090 MODELO";396
"421100 MONDAI";483
"421120 MORRO DA FUMACA";1504
"421130 NAVEGANTES";1401
"421140 NOVA ERECHIM";1092
"421150 NOVA TRENTO";744
"421160 NOVA VENEZA";3554
"421170 ORLEANS";1430
"421175 OTACILIO COSTA";1041
"421200 PALMA SOLA";719
"421210 PALMITOS";1196
"421220 PAPANDUVA";274
"421250 PENHA";1929
"421260 PERITIBA";291
"421290 PINHALZINHO";1036
"421320 POMERODE";1773
"421340 PONTE SERRADA";1476
"421360 PORTO UNIAO";2383
"421370 POUSO REDONDO";236
"421380 PRAIA GRANDE";1030
"421400 PRESIDENTE GETULIO";355
"421420 QUILOMBO";716
"421450 RIO DO CAMPO";103
"421470 RIO DOS CEDROS";329
"421480 RIO DO SUL";7561
"421490 RIO FORTUNA";908
"421500 RIO NEGRINHO";3545
"421530 SALETE";130
"421540 SALTO VELOSO";201
"421550 SANTA CECILIA";736
"421570 SANTO AMARO DA IMPERATRIZ";1486
"421580 SAO BENTO DO SUL";3874
"421590 SAO BONIFACIO";460
"421600 SAO CARLOS";1141
"421620 SAO FRANCISCO DO SUL";969
"421625 SAO JOAO DO OESTE";431
"421630 SAO JOAO BATISTA";578
"421650 SAO JOAQUIM";1320
"421660 SAO JOSE";16418
"421670 SAO JOSE DO CEDRO";883
"421690 SAO LOURENCO DO OESTE";1119
"421710 SAO MARTINHO";146
"421720 SAO MIGUEL DO OESTE";4822
"421725 SAO PEDRO DE ALCANTARA";494
"421730 SAUDADES";735
"421750 SEARA";874
"421770 SOMBRIO";5028
"421780 TAIO";631
"421790 TANGARA";845
"421800 TIJUCAS";1803
"421810 TIMBE DO SUL";1749
"421820 TIMBO";3997
"421830 TRES BARRAS";1096
"421840 TREZE DE MAIO";2206
"421860 TROMBUDO CENTRAL";259
"421870 TUBARAO";9239
"421875 TUNAPOLIS";581
"421880 TURVO";446
"421890 URUBICI";460
"421900 URUSSANGA";1256
"421910 VARGEAO";855
"421920 VIDAL RAMOS";33
"421930 VIDEIRA";3313
"421935 VITOR MEIRELES";132
"421940 WITMARSUM";11
"421950 XANXERE";5186
"421960 XAVANTINA";202
"421970 XAXIM";818
"430003 ACEGUA";265
"430010 AGUDO";934
"430020 AJURICABA";210
"430030 ALECRIM";334
"430040 ALEGRETE";4087
"430050 ALPESTRE";312
"430060 ALVORADA";1382
"430064 AMETISTA DO SUL";300
"430070 ANTA GORDA";223
"430080 ANTONIO PRADO";496
"430090 ARATIBA";321
"430100 ARROIO DO MEIO";1624
"430120 ARROIO DO TIGRE";941
"430130 ARROIO GRANDE";327
"430140 ARVOREZINHA";495
"430150 AUGUSTO PESTANA";287
"430160 BAGE";5302
"430210 BENTO GONCALVES";4184
"430220 BOA VISTA DO BURICA";259
"430230 BOM JESUS";218
"430235 BOM PRINCIPIO";325
"430240 BOM RETIRO DO SUL";556
"430245 BOQUEIRAO DO LEAO";249
"430270 BUTIA";40
"430280 CACAPAVA DO SUL";953
"430290 CACEQUI";423
"430300 CACHOEIRA DO SUL";4900
"430310 CACHOEIRINHA";2308
"430330 CAIBATE";301
"430340 CAICARA";261
"430350 CAMAQUA";2963
"430360 CAMBARA DO SUL";102
"430370 CAMPINA DAS MISSOES";413
"430380 CAMPINAS DO SUL";152
"430390 CAMPO BOM";3157
"430400 CAMPO NOVO";215
"430420 CANDELARIA";1460
"430430 CANDIDO GODOI";504
"430440 CANELA";1758
"430450 CANGUCU";1593
"430460 CANOAS";19574
"430463 CAPAO DA CANOA";3202
"430470 CARAZINHO";3259
"430480 CARLOS BARBOSA";945
