 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"211270 VARGEM GRANDE";975
"211280 VIANA";2401
"211285 VILA NOVA DOS MARTIRIOS";391
"211290 VITORIA DO MEARIM";382
"211300 VITORINO FREIRE";1266
"211400 ZE DOCA";2137
"220010 AGRICOLANDIA";44
"220020 AGUA BRANCA";408
"220030 ALTO LONGA";96
"220040 ALTOS";837
"220050 AMARANTE";427
"220100 ARRAIAL";37
"220120 BARRAS";1209
"220150 BATALHA";206
"220160 BENEDITINOS";64
"220180 BOCAINA";90
"220190 BOM JESUS";3056
"220220 CAMPO MAIOR";3501
"220230 CANTO DO BURITI";791
"220260 CASTELO DO PIAUI";226
"220270 COCAL";409
"220290 CORRENTE";984
"220310 CRISTINO CASTRO";390
"220320 CURIMATA";640
"220330 DEMERVAL LOBAO";529
"220350 ELESBAO VELOSO";902
"220370 ESPERANTINA";2762
"220390 FLORIANO";6836
"220400 FRANCINOPOLIS";19
"220430 FRONTEIRAS";1300
"220450 GUADALUPE";569
"220470 INHUMA";90
"220480 IPIRANGA DO PIAUI";40
"220510 ITAUEIRA";290
"220520 JAICOS";852
"220540 JOAQUIM PIRES";83
"220550 JOSE DE FREITAS";696
"220570 LUIS CORREIA";79
"220580 LUZILANDIA";1976
"220590 MANOEL EMIDIO";7
"220595 MARCOLANDIA";33
"220620 MIGUEL ALVES";878
"220650 MONSENHOR HIPOLITO";174
"220680 NOSSA SENHORA DOS REMEDIOS";92
"220700 OEIRAS";2727
"220730 PAES LANDIM";21
"220760 PARNAGUA";627
"220770 PARNAIBA";13207
"220780 PAULISTANA";560
"220790 PEDRO II";2821
"220800 PICOS";5871
"220810 PIMENTEIRAS";81
"220820 PIO IX";67
"220830 PIRACURUCA";190
"220840 PIRIPIRI";3214
"220850 PORTO";350
"220880 REGENERACAO";907
"220890 RIBEIRO GONCALVES";156
"220960 SAO FELIX DO PIAUI";22
"221000 SAO JOAO DO PIAUI";833
"221040 SAO MIGUEL DO TAPUIO";313
"221050 SAO PEDRO DO PIAUI";154
